croptype,predictions,tauPercents,year,state
Maize,-0.04417299429277241,-4.321157578147517,2019,IL
Maize,-0.03566949628020227,-3.5040836620673144,2019,IL
Maize,-0.016445609020817514,-1.631111826287468,2019,IL
Maize,-0.04378881995058502,-4.284393160277999,2019,IL
Maize,-0.04511341331580557,-4.411093486315187,2019,IN
Maize,-0.04222277697817779,-4.1343809747310996,2019,IN
Maize,-0.04781738114827035,-4.669213683045015,2019,IN
Maize,-0.050407741624435086,-4.915835226830511,2019,IN
Maize,-0.09882532034461004,-9.409906333308182,2019,OH
Maize,-0.07377968156191309,-7.112368012101333,2019,OH
Maize,-0.08187569937610227,-7.861351950698792,2019,OH
Maize,-0.07568664746305812,-7.289332772430567,2019,OH
Maize,-0.051624919844045276,-5.031499195110845,2019,OH
Maize,-0.10238187468751775,-9.73152266237448,2019,OH
Maize,-0.08083367554896431,-7.765291243950512,2019,OH
Maize,-0.08505110761829245,-8.15346573742194,2019,OH
Maize,-0.06524089049942881,-6.315824008584658,2019,OH
Maize,-0.09314187111944008,-8.893576257622193,2019,OH
Maize,-0.06311896485467418,-6.116822094076202,2019,OH
Maize,-0.07291844584840655,-7.032335407568535,2019,OH
Maize,-0.10198753515228896,-9.695919213512983,2019,OH
Maize,-0.11818582611441582,-11.146907497675219,2019,OH
Maize,-0.07819885711317849,-7.521949092486146,2019,OH
Maize,-0.06859562204084427,-6.629582686389024,2019,OH
Maize,-0.08154877105328553,-7.831224292501393,2019,OH
Maize,-0.0952872129605732,-9.088821172046213,2019,OH
Maize,-0.08722943865757644,-8.353320140304344,2019,OH
Maize,-0.04513612316174834,-4.413264271006767,2019,IL
Maize,-0.0773712296122021,-7.445380033359472,2019,IL
Maize,-0.06735000650411152,-6.513206579015273,2019,IL
Maize,-0.0555785998360315,-5.406232979738624,2019,IL
Maize,-0.045019815875782125,-4.40214619065541,2019,IL
Maize,-0.05427339744159575,-5.282688360697518,2019,IL
Maize,-0.03482846576284603,-3.4228935147167516,2019,IN
Maize,-0.04166639528236878,-4.0810282581869135,2019,IN
Maize,-0.06650280799878669,-6.433971148031292,2019,IN
Maize,-0.06363451257406821,-6.16521087789973,2019,IN
Maize,-0.05916467328240755,-5.744845667980036,2019,IN
Maize,-0.05635493467037378,-5.47964091793145,2019,IN
Maize,-0.03734638656019481,-3.665761130659695,2019,MI
Maize,-0.04757136058893195,-4.645757464435452,2019,MI
Maize,-0.04317383792934359,-4.2255116792490055,2019,MI
Maize,-0.04783245233628159,-4.670650420422162,2019,MI
Maize,-0.04817362462467936,-4.7031686053024995,2019,OH
Maize,-0.057193854909134034,-5.558902708331603,2019,IN
Maize,-0.05330138562377508,-5.190577255142603,2019,IN
Maize,-0.057890272652529336,-5.624650267650511,2019,IN
Maize,-0.04523984154265497,-4.423177858353222,2019,MI
Maize,-0.0894030616788032,-8.55230913159427,2019,MI
Maize,-0.08748941795822389,-8.37714328314474,2019,MI
Maize,-0.0995505539455357,-9.475581495350582,2019,MI
Maize,-0.07896494746388895,-7.592768504441205,2019,MI
Maize,-0.06328246802448743,-6.132171036421408,2019,MI
Maize,-0.05852436266442833,-5.684473765539588,2019,MI
Maize,-0.06289349497767444,-6.0956518789682,2019,MI
Maize,-0.06383871007326804,-6.1843697510128415,2019,MI
Maize,-0.0874928205310823,-8.377455036059834,2019,MI
Maize,-0.0838834995275421,-8.046162348947938,2019,MI
Maize,-0.06990289983061221,-6.751564010054956,2019,MI
Maize,-0.08362510418126509,-8.02239883516812,2019,MI
Maize,-0.08072226008955558,-7.75501429900638,2019,MI
Maize,-0.0814575365964329,-7.822814940705458,2019,MI
Maize,-0.11263072974496899,-10.651946500920129,2019,MI
Maize,-0.026050577763054545,-2.57141888343414,2019,MI
Maize,-0.0753979807987097,-7.262566430282991,2019,MI
Maize,-0.08697490753061102,-8.329990238629891,2019,MI
Maize,-0.024223320803605487,-2.393229080840553,2019,MI
Maize,-0.024468422030425083,-2.4171496885338373,2019,MI
Maize,-0.06204428673119207,-6.015873662798099,2019,MI
Maize,-0.055250592406856404,-5.375200432227478,2019,MI
Maize,-0.03418043033193037,-3.360287844743748,2019,MI
Maize,-0.04222695589332861,-4.1347815881818235,2019,MI
Maize,-0.03113158785020165,-3.0651989737415897,2019,OH
Maize,-0.02597105273398621,-2.5636705646002067,2019,OH
Maize,-0.04949309103171329,-4.8288266540067575,2019,OH
Maize,-0.048655955528895505,-4.749122128864858,2019,OH
Maize,-0.05911212799717829,-5.7398928738894845,2019,IN
Maize,-0.04945562903078643,-4.825261284640147,2019,IN
Maize,-0.038416640979506034,-3.7688081224551806,2019,IN
Maize,-0.0553993041282577,-5.3892712027882705,2019,IN
Maize,-0.024494197672082888,-2.419664916699471,2019,IN
Maize,-0.030541568901695154,-3.0079887284616857,2019,IN
Maize,-0.02930193056175558,-2.8876791578501204,2019,IN
Maize,-0.04556342784764206,-4.4541002057785555,2019,IN
Maize,-0.03009534179808875,-2.964698606304439,2019,IN
Maize,-0.04482848683491946,-4.38385379510009,2019,IN
Maize,-0.0325385225160491,-3.2014840110797693,2019,IN
Maize,-0.029195730036835614,-2.8773652307379383,2019,IN
Maize,-0.031442863643817695,-3.095367735213872,2019,IN
Maize,-0.04515777034178731,-4.415333431888591,2019,IN
Maize,-0.022696643090820274,-2.244101192914838,2019,OH
Maize,-0.040302702133357064,-3.9501349847169465,2019,OH
Maize,-0.03512050771709932,-3.451093963573315,2019,OH
Maize,-0.03534269152379611,-3.4725431841259202,2019,OH
Maize,-0.04536606430705515,-4.43524106771469,2019,IL
Maize,-0.04563278069335195,-4.460726356051348,2019,IL
Maize,-0.06527459487567473,-6.318981522089251,2019,IL
Maize,-0.05314033300490523,-5.175306719669148,2019,IL
Maize,-0.07026752042150813,-6.7855581120343285,2019,IL
Maize,-0.09352841074520032,-8.928785695200126,2019,IL
Maize,-0.07483806244786179,-7.210626499713602,2019,IL
Maize,-0.05724053246205141,-5.56331088476576,2019,IL
Maize,-0.04646633511348686,-4.54033035815068,2019,IL
Maize,-0.03976084664518354,-3.898075735198814,2019,IL
Maize,-0.04072736892571278,-3.9909155131182317,2019,IL
Maize,-0.049564682098246736,-4.835639815926163,2019,IL
Maize,-0.04281856006717668,-4.191479078631454,2019,IL
Maize,-0.0401515955620313,-3.9356201223202603,2019,IL
Maize,-0.052357002640372505,-5.1009985579951405,2019,IL
Maize,-0.05566972679286502,-5.414852629115419,2019,IL
Maize,-0.03873319963173634,-3.7992661177331355,2019,MI
Maize,-0.033136872932875996,-3.259386118867269,2019,MI
Maize,-0.037041648554070127,-3.6363999532790015,2019,MI
Maize,-0.04967628324063957,-4.846259674632591,2019,MI
Maize,-0.049122905437156444,-4.793589134808407,2019,IL
Maize,-0.03967721491852,-3.8900382292462954,2019,IL
Maize,-0.04239378516869961,-4.150773379116213,2019,IL
Maize,-0.04731992833926299,-4.621779318405972,2019,IL
Maize,-0.06910241342078813,-6.676890020538229,2019,MI
Maize,-0.07420595453498709,-7.151955061106641,2019,MI
Maize,-0.05794482162888404,-5.6297982059628655,2019,MI
Maize,-0.0322003813223293,-3.168746910763809,2019,MI
Maize,-0.02924991805542107,-2.882627971285856,2019,MI
Maize,-0.03209624327640443,-3.158662568209891,2019,MI
Maize,-0.027645830278694154,-2.7267181688334863,2019,MI
Maize,-0.04698903814789551,-4.59021437873589,2019,MI
Maize,-0.026414372113845102,-2.606856404474067,2019,MI
Maize,-0.0807579916338971,-7.758310295917359,2019,MI
Maize,-0.062224393081435535,-6.032799276522505,2019,MI
Maize,-0.05868139575101556,-5.699283260916466,2019,MI
Maize,-0.034182327968758204,-3.360471231646567,2019,MI
Maize,-0.05747357021732605,-5.585315634744392,2019,MO
Maize,-0.05133149249145307,-5.003628750564603,2019,MO
Maize,-0.06571507447892917,-6.360237013172664,2019,MO
Maize,-0.052258278100104326,-5.091629235222439,2019,MO
Maize,-0.021819175473216042,-2.1582859127232124,2019,IL
Maize,-0.02648060432451685,-2.6133067540658583,2019,IL
Maize,-0.05076349617461127,-4.949655834823973,2019,IL
Maize,-0.04515006969934465,-4.414597365714268,2019,IL
Maize,-0.048746644640062835,-4.757759954632612,2019,IL
Maize,-0.04259767382424344,-4.170313956948101,2019,IL
Maize,-0.043492460669091994,-4.2560227480974655,2019,MI
Maize,-0.05044452834872773,-4.919332997448455,2019,IL
Maize,-0.031616148026875485,-3.112158339814519,2019,IL
Maize,-0.014562758531582011,-1.4457234425282794,2019,IL
Maize,-0.04182761418030666,-4.096490962628884,2019,IL
Maize,-0.0493796228731713,-4.818027143532211,2019,MO
Maize,-0.04284746454042787,-4.194248333439543,2019,MO
Maize,-0.04719775866309548,-4.610126280262417,2019,MO
Maize,-0.06087522370697422,-5.905936046353732,2019,IL
Maize,-0.040380503833701134,-3.957607536840557,2019,IL
Maize,-0.03757380154509873,-3.6876664892400934,2019,IL
Maize,-0.03311903672572169,-3.2576606178497003,2019,IL
Maize,-0.0488041315022782,-4.763234974790809,2019,IL
Maize,-0.047570467852713516,-4.6456723382115594,2019,IL
Maize,-0.05300342248837276,-5.162323333171315,2019,IL
Maize,-0.050626149822324246,-4.936600120212398,2019,IL
Maize,-0.04618777410787352,-4.51373531258038,2019,IL
Maize,-0.045051006513340174,-4.405127902163919,2019,IL
Maize,-0.05172236501421099,-5.040752965957196,2019,IL
Maize,-0.0648142981088128,-6.275850526400129,2019,MO
Maize,-0.05549441349091745,-5.398269141004086,2019,MO
Maize,-0.07170304045919794,-6.91927331277914,2019,MO
Maize,-0.0473645486691998,-4.626035031135212,2019,MO
Maize,-0.056661835060738124,-5.508644802151775,2019,MO
Maize,-0.07032639958609366,-6.791046338927309,2019,MO
Maize,-0.05306696778479945,-5.16834962997409,2019,MO
Maize,-0.042176221310082605,-4.129917782897385,2019,MO
Maize,-0.039901688177637146,-3.91160992437366,2019,IL
Maize,-0.041632188086801504,-4.077747083042349,2019,IL
Maize,-0.05342587127091842,-5.2023789329032954,2019,IL
Maize,-0.06351643568843097,-6.154130504080612,2019,IL
Maize,-0.027833177482604582,-2.7449403392101224,2019,IL
Maize,-0.03893493687253245,-3.8186714308961256,2019,IL
Maize,-0.036501528475428785,-3.584337979450569,2019,IL
Maize,-0.06302116809848904,-6.107640174843009,2019,IL
Maize,-0.07466638443792056,-7.1946952372427875,2019,IL
Maize,-0.08263198629259148,-7.931008861096367,2019,IL
Maize,-0.04857879459196208,-4.741772198324467,2019,IL
Maize,-0.0413703327186175,-4.05262603729094,2019,IL
Maize,-0.0858638102962195,-8.228079338332051,2019,IL
Maize,-0.08536381649317945,-8.182182473590316,2019,IL
Maize,-0.044026431067300253,-4.3071335507144815,2019,IL
Maize,-0.11436944053379092,-10.80716194900927,2019,IL
Maize,-0.04405849669085723,-4.310201952951753,2019,IL
Maize,-0.033578938678899564,-3.302142379278039,2019,IL
Maize,-0.06834156974071855,-6.605858703668222,2019,IL
Maize,-0.054740316634871125,-5.32690336821624,2019,IL
Maize,-0.07201521164032981,-6.948325898243802,2019,IL
Maize,-0.04682782999952591,-4.57483230403497,2019,MI
Maize,-0.05762707793948816,-5.5998079055137655,2019,MI
Maize,-0.0758066605730789,-7.300458600300697,2019,MI
Maize,-0.06915708507845451,-6.681992010190996,2019,MI
Maize,-0.04909274112192205,-4.790717255304822,2019,MI
Maize,-0.022632189360952,-2.237800257562883,2019,IL
Maize,-0.04367873040486555,-4.273855292558859,2019,IL
Maize,-0.05796316026325305,-5.631528810720388,2019,IL
Maize,-0.055378973848903466,-5.387347720689517,2019,IL
Maize,-0.07621195954462338,-7.3380220163714815,2019,IL
Maize,-0.06686624920131119,-6.467970719275917,2019,IL
Maize,-0.035641961505048815,-3.5014266321275356,2019,IL
Maize,-0.07663772777953108,-7.377466145556133,2019,IL
Maize,-0.022476113434166136,-2.2225407408428266,2019,IL
Maize,-0.0263422179872982,-2.5998288337352182,2019,IL
Maize,-0.03657620636987875,-3.591537829244107,2019,IL
Maize,-0.0673507677030678,-6.51327774103777,2019,IL
Maize,-0.027424109654632583,-2.7051482849256736,2019,IL
Maize,-0.058393020064660024,-5.67208530557698,2019,MI
Maize,-0.0978398089179126,-9.320584754365058,2019,MI
Maize,-0.10015660793708456,-9.530427559001309,2019,MI
Maize,-0.09972289544721269,-9.491181265291605,2019,MI
Maize,-0.059101272805521285,-5.738869656807422,2019,MI
Maize,-0.10409107204142654,-9.88567752690962,2019,MI
Maize,-0.038707310318655666,-3.7967755145752125,2019,IL
Maize,-0.03855425947739044,-3.782050403318704,2019,IL
Maize,-0.06204253386908089,-6.015708921439611,2019,IL
Maize,-0.04692624348487473,-4.5842229652864885,2019,MO
Maize,-0.04954022341935582,-4.833312192933392,2019,MO
Maize,-0.054521763127593166,-5.306209969677456,2019,MI
Maize,-0.06130842186227401,-5.946688593681648,2019,MI
Maize,-0.0439303912374559,-4.297942782770548,2019,MI
Maize,-0.050469191102703155,-4.921677919630318,2019,MI
Maize,-0.06355156741795522,-6.157427413871308,2019,MI
Maize,-0.05063976277722212,-4.937894205179216,2019,MI
Maize,-0.05169518875211772,-5.03817229350526,2019,MI
Maize,-0.07191036874320306,-6.938569579717068,2019,MI
Maize,-0.0707228330545545,-6.827990164350506,2019,MI
Maize,-0.04522342175715243,-4.421608494550366,2019,MI
Maize,-0.051392131303913964,-5.009389043054846,2019,MI
Maize,-0.057864925867228856,-5.622258125606761,2019,MI
Maize,-0.055194217127706446,-5.369865782367567,2019,MI
