FIPS,Cropland in 12 (arce),CoverCrop in 12 (arce),Cropland in 17 (arce),CoverCrop in 17 (acre)
17001,294180,6055,382809,12092
17003,51809,NA,43073,873
17005,176740,2476,149841,3871
17007,126852,660,106043,1385
17009,85466,854,88173,3727
17011,410806,5490,408184,13387
17013,48502,1632,68694,901
17015,218830,9605,210029,14916
17017,151066,2496,169820,9006
17019,591132,7272,566389,9801
17021,352741,1117,382573,2334
17023,230264,2100,227699,1980
17025,235247,2211,258700,11845
17027,259554,3561,214880,8809
17029,245919,1853,219856,4039
17031,7501,222,10763,298
17033,186745,4670,193454,6785
17035,143465,1497,145698,2822
17037,383524,5975,362602,7646
17039,182583,447,177076,1263
17041,247840,1692,236634,2597
17043,5878,46,1643,9
17045,326251,976,299471,1733
17047,88078,1307,98585,8637
17049,241885,3096,260693,10009
17051,248237,3069,297846,5410
17053,298030,1658,262743,6324
17055,152745,1808,148811,5616
17057,266405,2561,305497,11258
17059,170317,4142,161336,5655
17061,233393,2161,257831,4049
17063,206043,1208,224916,3090
17065,195256,4020,174396,6085
17067,315713,3113,378185,11572
17069,16839,NA,21201,310
17071,141710,1966,165133,3186
17073,436769,4483,440794,13108
17075,638205,5719,655873,25126
17077,172948,2195,176757,7335
17079,218212,1921,218747,9412
17081,172485,4081,222563,6805
17083,126072,3476,152145,3796
17085,190246,9506,202143,13565
17087,48244,1547,55766,2962
17089,154299,1528,161894,5512
17091,327931,4042,300446,5635
17093,123621,503,133626,1029
17095,288679,2875,355450,10995
17097,21960,872,23883,74
17099,569010,3445,545372,13589
17101,169332,3550,205546,8674
17103,348914,4583,374374,4167
17105,632131,6738,581336,13759
17107,343001,1062,338070,4908
17109,253450,4476,272539,12536
17111,212556,1894,189679,1522
17113,653874,9572,599923,19119
17115,321693,1391,267950,7055
17117,371038,5160,355347,14783
17119,276513,8904,287787,5775
17121,216922,2306,203675,5864
17123,183698,3426,180681,7493
17125,265513,11074,289261,15925
17127,83297,1624,95531,5795
