fips5,year,state_alpha,state_name,county_code,class_desc,short_desc,statisticcat_desc,commodity_desc,Nass_Area_acres,Nass_Area_m2
18007,2021,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,123500,499787210
18007,2020,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,115e3,465388900
18007,2019,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,123e3,497763780
18007,2018,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,118e3,477529480
18007,2017,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,123e3,497763780
18007,2016,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,125e3,505857500
18007,2015,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,129e3,522044940
18007,2014,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,13e4,526091800
18007,2013,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,135e3,546326100
18007,2012,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,137e3,554419820
18007,2011,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,138e3,558466680
18007,2010,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,132e3,534185520
18007,2009,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,135e3,546326100
18007,2008,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,132e3,534185520
18007,2007,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,142500,576677550
18007,2006,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,128e3,517998080
18007,2005,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,126200,510713732
18007,2004,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,123e3,497763780
18007,2003,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,119e3,481576340
18007,2002,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,119e3,481576340
18007,2001,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,118e3,477529480
18007,2000,IN,Indiana,007,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,117e3,473482620
18073,2020,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,152e3,615122720
18073,2018,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,154e3,623216440
18073,2017,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,152e3,615122720
18073,2016,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,162e3,655591320
18073,2015,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,158e3,639403880
18073,2014,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,175e3,708200500
18073,2013,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,183e3,740575380
18073,2012,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,177500,718317650
18073,2011,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,169e3,683919340
18073,2010,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,171e3,692013060
18073,2009,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,156e3,631310160
18073,2008,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,159e3,643450740
18073,2007,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,169300,685133398
18073,2006,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,146100,591246246
18073,2005,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,152300,616336778
18073,2004,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,144e3,582747840
18073,2003,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,148e3,598935280
18073,2002,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,146e3,590841560
18073,2001,IN,Indiana,073,ALL CLASSES,CORN - ACRES PLANTED,AREA PLANTED,CORN,147e3,594888420
